classification,mean_pnl,median_pnl,win_rate,total_volume,avg_buy_ratio,pnl_std
Extreme Fear,10986.520627214286,18581.3573085,0.6428571428571429,38163755.23250001,0.4865378423016011,17479.72731802962
Extreme Greed,7624.537670324562,3127.5362965000004,0.8771929824561403,108309685.2825,0.4568030922189094,10482.34498812317
