classification,avg_pnl,median_pnl,pnl_std,win_rate,avg_buy_ratio,avg_crossed_ratio,total_volume
Extreme Fear,10986.520627214284,18581.3573085,17479.72731802962,0.6428571428571429,0.4865378423016011,0.6610999271137151,38163755.2325
Fear,9080.373936450549,1412.314654,12356.386171183205,0.7362637362637363,0.513495073350521,0.7448389292827967,148987175.0675
Neutral,8768.833393358209,1818.573295,11860.944985930913,0.6716417910447762,0.4998244584339763,0.7753959262274726,90918802.66
Greed,3645.42560880829,678.4759280000001,8571.305700107645,0.7253886010362695,0.4934774284119582,0.7862118438354746,133488683.8125
Extreme Greed,7624.53767032456,3127.5362965000004,10482.344988123172,0.8771929824561403,0.4568030922189094,0.6575219480803216,108309685.2825
