classification,pnl_mean,pnl_std,risk_adj
Extreme Fear,10986.520627214284,17479.72731802962,0.6285292915228797
Fear,9080.373936450549,12356.386171183205,0.7348729483404486
Neutral,8768.833393358209,11860.944985930913,0.7393030996905835
Greed,3645.42560880829,8571.305700107645,0.4253057511135681
Extreme Greed,7624.53767032456,10482.344988123172,0.7273694654166984
